spe	group	type
Pseudoflavonifractor_capillosus	Clostridiales(36)	From_donor
Parabacteroides_goldsteinii	Bacteroidales(26)	From_donor
Ruminococcus_bromii	Clostridiales(36)	From_donor
Ruminococcus_obeum	Clostridiales(36)	From_donor
Coprococcus_catus	Clostridiales(36)	From_donor
Lachnospiraceae_bacterium_8_1_57FAA	Clostridiales(36)	From_donor
Coprococcus_comes	Clostridiales(36)	From_donor
Bacteroidales_bacterium_ph8	Bacteroidales(26)	From_donor
Coprococcus_eutactus	Clostridiales(36)	From_donor
Roseburia_hominis	Clostridiales(36)	From_donor
Lachnospiraceae_bacterium_7_1_58FAA	Clostridiales(36)	From_donor
Eubacterium_eligens	Clostridiales(36)	From_donor
Alistipes_shahii	Bacteroidales(26)	From_donor
Alistipes_putredinis	Bacteroidales(26)	From_donor
Alistipes_onderdonkii	Bacteroidales(26)	From_donor
Alistipes_senegalensis	Bacteroidales(26)	From_donor
Alistipes_indistinctus	Bacteroidales(26)	From_donor
Prevotella_stercorea	Bacteroidales(26)	From_donor
Paraprevotella_clara	Bacteroidales(26)	From_donor
Parabacteroides_merdae	Bacteroidales(26)	From_donor
Bacteroides_dorei	Bacteroidales(26)	From_donor
Barnesiella_intestinihominis	Bacteroidales(26)	From_donor
Bacteroides_eggerthii	Bacteroidales(26)	From_donor
Bacteroides_caccae	Bacteroidales(26)	From_donor
Bacteroides_stercoris	Bacteroidales(26)	From_donor
Bacteroides_salyersiae	Bacteroidales(26)	From_donor
Bacteroides_massiliensis	Bacteroidales(26)	From_donor
Bacteroides_intestinalis	Bacteroidales(26)	From_donor
Bacteroides_vulgatus	Bacteroidales(26)	From_donor
Bacteroides_uniformis	Bacteroidales(26)	From_donor
Collinsella_aerofaciens	Other(17)	From_donor
Methanobrevibacter_smithii	Other(17)	From_donor
Actinomyces_odontolyticus	Other(17)	From_recipent
Gordonibacter_pamelaeae	Other(17)	From_recipent
Escherichia_coli	Other(17)	From_recipent
Holdemania_filiformis	Other(17)	From_recipent
Ruminococcus_callidus	Clostridiales(36)	From_recipent
Blautia_producta	Clostridiales(36)	From_recipent
Dialister_invisus	Other(17)	From_recipent
Prevotella_copri	Bacteroidales(26)	From_recipent
Bifidobacterium_breve	Other(17)	From_recipent
Bifidobacterium_bifidum	Other(17)	From_recipent
Anaerotruncus_colihominis	Clostridiales(36)	Mix
Ruminococcus_sp_5_1_39BFAA	Clostridiales(36)	Mix
Clostridium_bartlettii	Clostridiales(36)	Mix
Roseburia_inulinivorans	Clostridiales(36)	Mix
Dorea_formicigenerans	Clostridiales(36)	Mix
Roseburia_intestinalis	Clostridiales(36)	Mix
Dorea_longicatena	Clostridiales(36)	Mix
Eubacterium_rectale	Clostridiales(36)	Mix
Eubacterium_siraeum	Clostridiales(36)	Mix
Clostridium_leptum	Clostridiales(36)	Mix
Ruminococcus_torques	Clostridiales(36)	Mix
Faecalibacterium_prausnitzii	Clostridiales(36)	Mix
Bifidobacterium_longum	Other(17)	Mix
Lactococcus_phage_P680	Other(17)	donor_not_colonized
Ruminococcus_lactaris	Clostridiales(36)	donor_not_colonized
Ruminococcus_champanellensis	Clostridiales(36)	donor_not_colonized
Eubacterium_ramulus	Clostridiales(36)	donor_not_colonized
Streptococcus_salivarius	Other(17)	donor_not_colonized
Odoribacter_splanchnicus	Bacteroidales(26)	donor_not_colonized
Bacteroides_ovatus	Bacteroidales(26)	donor_not_colonized
Bacteroides_thetaiotaomicron	Bacteroidales(26)	donor_not_colonized
Bacteroides_finegoldii	Bacteroidales(26)	donor_not_colonized
Bacteroides_xylanisolvens	Bacteroidales(26)	donor_not_colonized
Propionibacterium_acnes	Other(17)	donor_not_colonized
Anaerofustis_stercorihominis	Clostridiales(36)	recip_not_colonized
Clostridium_spiroforme	Other(17)	recip_not_colonized
Lachnospiraceae_bacterium_3_1_57FAA_CT1	Clostridiales(36)	recip_not_colonized
Lachnospiraceae_bacterium_5_1_63FAA	Clostridiales(36)	recip_not_colonized
Adlercreutzia_equolifaciens	Other(17)	recip_not_colonized
Lachnospiraceae_bacterium_3_1_46FAA	Clostridiales(36)	recip_not_colonized
Ruminococcus_gnavus	Clostridiales(36)	recip_not_colonized
Eubacterium_sp_3_1_31	Clostridiales(36)	recip_not_colonized
Clostridium_sp_KLE_1755	Clostridiales(36)	recip_not_colonized
Clostridium_symbiosum	Clostridiales(36)	recip_not_colonized
Clostridium_bolteae	Clostridiales(36)	recip_not_colonized
Streptococcus_thermophilus	Other(17)	recip_not_colonized
Akkermansia_muciniphila	Other(17)	recip_not_colonized
