Species	Genus	Phylum	Enrichemnt
Aeromonas_hydrophila	Aeromonas	Proteobacteria	Case
Selenomonas_noxia	Selenomonas	Firmicutes	Case
Anaerococcus_prevotii	Anaerococcus	Firmicutes	Control
Centipeda_periodontii	Selenomonas	Firmicutes	Case
Lactobacillus_coryniformis	Lactobacillus	Firmicutes	Case
Listeria_seeligeri	Listeria	Firmicutes	Control
Lactobacillus_farciminis	Lactobacillus	Firmicutes	Control
unclassified_Selenomonas_sp._oral_taxon_149	Selenomonas	Firmicutes	Case
unclassified_Clostridium_sp._BNL1100	Clostridium	Firmicutes	Case
Streptococcus_porcinus	Streptococcus	Firmicutes	Control
Dehalococcoides_mccartyi	Dehalococcoides	Chloroflexi	Control
Mannheimia_haemolytica	Mannheimia	Proteobacteria	Control
unclassified_Veillonella_sp._oral_taxon_780	Veillonella	Firmicutes	Control
Anaerococcus_tetradius	Anaerococcus	Firmicutes	Control
Dysgonomonas_mossii	Dysgonomonas	Bacteroidetes	Case
Campylobacter_rectus	Campylobacter	Proteobacteria	Control
Serratia_plymuthica/odorifera	Serratia	Proteobacteria	Case
Neisseria_elongata	Neisseria	Proteobacteria	Case
Anaerococcus_hydrogenalis	Anaerococcus	Firmicutes	Control
Dialister_micraerophilus	Dialister	Firmicutes	Case
Dehalogenimonas_lykanthroporepellens	Dehalogenimonas	Chloroflexi	Case
Acinetobacter_nosocomialis	Acinetobacter	Proteobacteria	Case
Corynebacterium_striatum	Corynebacterium	Actinobacteria	Case
Pseudoramibacter_alactolyticus	Pseudoramibacter	Firmicutes	Control
Atopobium_rimae	Atopobium	Actinobacteria	Control
Pectobacterium_wasabiae	Pectobacterium	Proteobacteria	Case
Azospira_oryzae	Azospira	Proteobacteria	Control
Ralstonia_pickettii	Ralstonia	Proteobacteria	Control
Weissella_paramesenteroides	Weissella	Firmicutes	Case
Enterococcus_italicus	Enterococcus	Firmicutes	Control
Jonquetella_anthropi	Jonquetella	Synergistetes	Case
unclassified_Prevotella_sp._oral_taxon_317	Prevotella	Bacteroidetes	Case
Dichelobacter_nodosus	Dichelobacter	Proteobacteria	Control
Streptococcus_parauberis	Streptococcus	Firmicutes	Control
Simonsiella_muelleri	Haemophilus	Proteobacteria	Case
Neisseria_lactamica	Neisseria	Proteobacteria	Control
Propionibacterium_acnes	Propionibacterium	Actinobacteria	Control
unclassified_Peptoniphilus_sp._oral_taxon_375	Anaerococcus	Firmicutes	Control
Bacteroidetes_oral_taxon_274	Unknown	Bacteroidetes	Control
Olsenella_uli	Olsenella	Actinobacteria	Control
Photobacterium_damselae	Photobacterium	Proteobacteria	Case
unclassified_Geobacter_sp._M18	Unknown	Proteobacteria	Case
unclassified_gamma_proteobacterium_HdN1	Unknown	Proteobacteria	Control
Acidovorax_ebreus	Acidovorax	Proteobacteria	Control
Lactobacillus_amylolyticus	Lactobacillus	Firmicutes	Control
Serratia_proteamaculans	Serratia	Proteobacteria	Control
Alicycliphilus_denitrificans	Alicycliphilus	Proteobacteria	Case
Vibrio_harveyi	Vibrio	Proteobacteria	Control
Oenococcus_oeni	Oenococcus	Firmicutes	Control
Providencia_stuartii	Escherichia	Proteobacteria	Control
